# Gate ladder as displayed, one row per encoder detent, lowest first.
# stored = row index - 1.
#
# Captured 2026-07-31 (T2-gate-table.KeyStepPro); stored 36 pinned 2026-08-01
# (D25-gate-capture.KeyStepPro). Values are the device's 2-decimal rendering,
# not the exact gate length -- the reading, the run structure and the full
# provenance are in KeyStepPro_Format_Spec.md section 6.1.
#
# Format: a "melodic" or "drum" line opens a section. Every following row is
#   <displayed value>  <measured|enumerated>
# in detent order. Blank lines and # lines are ignored.

melodic
0.06    measured
0.12    measured
0.19    measured
0.25    measured
0.31    measured
0.38    measured
0.44    measured
0.5     measured
0.62    measured
0.75    measured
0.88    measured
1       measured
1.12    measured
1.25    measured
1.38    measured
1.5     measured
1.62    measured
1.75    measured
1.88    measured
2       measured
2.12    measured
2.25    measured
2.38    measured
2.5     measured
2.62    measured
2.75    measured
2.88    measured
3       measured
3.25    measured
3.5     measured
3.75    measured
4       measured
4.25    measured
4.5     measured
4.75    measured
5       measured
5.25    measured
5.5     measured
5.75    measured
6       measured
6.25    measured
6.5     measured
6.75    measured
7       measured
7.25    measured
7.5     measured
7.75    measured
8       measured
8.5     measured
9       measured
9.5     measured
10      measured
10.5    measured
11      measured
11.5    measured
12      measured
12.5    measured
13      measured
13.5    measured
14      measured
14.5    measured
15      measured
15.5    measured
16      measured
16.5    measured
17      enumerated
17.5    enumerated
18      enumerated
18.5    enumerated
19      enumerated
19.5    enumerated
20      enumerated
20.5    enumerated
21      enumerated
21.5    enumerated
22      enumerated
22.5    enumerated
23      enumerated
23.5    enumerated
24      measured
24.5    enumerated
25      enumerated
25.5    enumerated
26      enumerated
26.5    enumerated
27      enumerated
27.5    enumerated
28      enumerated
28.5    enumerated
29      enumerated
29.5    enumerated
30      enumerated
30.5    enumerated
31      enumerated
31.5    enumerated
32      measured
33      measured
34      enumerated
35      enumerated
36      enumerated
37      enumerated
38      enumerated
39      enumerated
40      enumerated
41      enumerated
42      enumerated
43      enumerated
44      enumerated
45      enumerated
46      enumerated
47      enumerated
48      enumerated
49      enumerated
50      enumerated
51      enumerated
52      enumerated
53      enumerated
54      enumerated
55      enumerated
56      enumerated
57      enumerated
58      enumerated
59      enumerated
60      enumerated
61      enumerated
62      enumerated
63      measured
64      measured

# Empty by design: T2.3 spot-checked drum stored 0, 7, 31, 63, 127 and found the
# melodic ladder exactly. Fill only if a drum gate ever disagrees with it.
drum
